Date,Flow
4/11/2005 9:00,615
4/11/2005 12:00,1044
4/11/2005 15:00,936
4/11/2005 18:00,1286
4/11/2005 21:00,862
4/12/2005 0:00,413
4/12/2005 3:00,130
4/12/2005 6:00,162
4/12/2005 9:00,1209
4/12/2005 12:00,1048
4/12/2005 15:00,1188
4/12/2005 18:00,1641
4/12/2005 21:00,1025
4/13/2005 0:00,422
4/13/2005 3:00,94
4/13/2005 6:00,160
4/13/2005 9:00,1185
4/13/2005 12:00,1039
4/13/2005 15:00,1120
4/13/2005 18:00,1226
4/13/2005 21:00,971
4/14/2005 0:00,948
4/14/2005 3:00,140
4/14/2005 6:00,128
4/14/2005 9:00,1209
4/14/2005 12:00,1220
4/14/2005 15:00,1047
4/14/2005 18:00,1261
4/14/2005 21:00,911
4/15/2005 0:00,511
4/15/2005 3:00,132
4/15/2005 6:00,166
4/15/2005 9:00,1093
4/15/2005 12:00,1018
4/15/2005 15:00,1087
4/15/2005 18:00,1194
4/15/2005 21:00,965
4/16/2005 0:00,1105
4/16/2005 3:00,211
4/16/2005 6:00,121
4/16/2005 9:00,525
4/16/2005 12:00,980
4/16/2005 15:00,1075
4/16/2005 18:00,966
4/16/2005 21:00,896
4/17/2005 0:00,1291
4/17/2005 3:00,312
4/17/2005 6:00,137
4/17/2005 9:00,387
4/17/2005 12:00,838
4/17/2005 15:00,1042
4/17/2005 18:00,1523
4/17/2005 21:00,675
4/18/2005 0:00,396
4/18/2005 3:00,108
4/18/2005 6:00,153
4/18/2005 9:00,1056
4/18/2005 12:00,949
4/18/2005 15:00,1026
4/18/2005 18:00,1175
4/18/2005 21:00,767
4/19/2005 0:00,400
4/19/2005 3:00,101
4/19/2005 6:00,156
4/19/2005 9:00,1114
4/19/2005 12:00,1045
4/19/2005 15:00,1066
4/19/2005 18:00,1332
4/19/2005 21:00,818
4/20/2005 0:00,420
4/20/2005 3:00,124
4/20/2005 6:00,180
4/20/2005 9:00,1137
4/20/2005 12:00,1033
4/20/2005 15:00,1030
4/20/2005 18:00,1356
4/20/2005 21:00,824
4/21/2005 0:00,481
4/21/2005 3:00,157
4/21/2005 6:00,158
4/21/2005 9:00,1252
4/21/2005 12:00,1231
4/21/2005 15:00,1081
4/21/2005 18:00,1264
4/21/2005 21:00,897
4/22/2005 0:00,486
4/22/2005 3:00,116
4/22/2005 6:00,180
4/22/2005 9:00,1115
4/22/2005 12:00,890
4/22/2005 15:00,1141
4/22/2005 18:00,1081
4/22/2005 21:00,943
4/23/2005 0:00,580
4/23/2005 3:00,259
4/23/2005 6:00,113
4/23/2005 9:00,533
4/23/2005 12:00,919
4/23/2005 15:00,1063
4/23/2005 18:00,1078
4/23/2005 21:00,816
4/24/2005 0:00,588
4/24/2005 3:00,264
4/24/2005 6:00,177
4/24/2005 9:00,315
4/24/2005 12:00,723
4/24/2005 15:00,866
4/24/2005 18:00,879
4/24/2005 21:00,705
4/25/2005 0:00,380
4/25/2005 3:00,106
4/25/2005 6:00,148
4/25/2005 9:00,1151
4/25/2005 12:00,995
4/25/2005 15:00,1019
4/25/2005 18:00,1250
4/25/2005 21:00,889
4/26/2005 0:00,716
4/26/2005 3:00,113
4/26/2005 6:00,160
4/26/2005 9:00,1164
4/26/2005 12:00,1060
4/26/2005 15:00,1112
4/26/2005 18:00,1314
4/26/2005 21:00,841
4/27/2005 0:00,843
4/27/2005 3:00,106
4/27/2005 6:00,153
4/27/2005 9:00,1211
4/27/2005 12:00,989
4/27/2005 15:00,1016
4/27/2005 18:00,1310
4/27/2005 21:00,899
4/28/2005 0:00,936
4/28/2005 3:00,122
4/28/2005 6:00,127
4/28/2005 9:00,1170
4/28/2005 12:00,992
4/28/2005 15:00,1010
4/28/2005 18:00,1168
4/28/2005 21:00,862
4/29/2005 0:00,497
4/29/2005 3:00,165
4/29/2005 6:00,174
4/29/2005 9:00,1158
4/29/2005 12:00,1074
4/29/2005 15:00,1187
4/29/2005 18:00,1174
4/29/2005 21:00,872
4/30/2005 0:00,869
4/30/2005 3:00,267
4/30/2005 6:00,115
4/30/2005 9:00,545
4/30/2005 12:00,886
4/30/2005 15:00,996
4/30/2005 18:00,1062
4/30/2005 21:00,987
5/1/2005 0:00,1231
5/1/2005 3:00,345
5/1/2005 6:00,139
5/1/2005 9:00,295
5/1/2005 12:00,751
5/1/2005 15:00,942
5/1/2005 18:00,1425
5/1/2005 21:00,826
5/2/2005 0:00,444
5/2/2005 3:00,118
5/2/2005 6:00,167
5/2/2005 9:00,1145
5/2/2005 12:00,1003
5/2/2005 15:00,1046
5/2/2005 18:00,1272
5/2/2005 21:00,846
5/3/2005 0:00,662
5/3/2005 3:00,117
5/3/2005 6:00,165
5/3/2005 9:00,1175
5/3/2005 12:00,1009
5/3/2005 15:00,1054
5/3/2005 18:00,1365
5/3/2005 21:00,898
