STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
72224603844,6/1/1977,30.65,-86.517,58,"EGLIN AF AUX NR 3 D, FL US",78.8,14,68.4,14,9999.9,0,999.9,0,5.8,14,5,14,15,23.9,91,*,70,*,0.16,A,999.9,110010
72224603844,6/2/1977,30.65,-86.517,58,"EGLIN AF AUX NR 3 D, FL US",84.4,11,59.6,11,9999.9,0,999.9,0,6.6,11,6.5,11,8,999.9,91.9,*,70,*,0.35,A,999.9,10010
72224603844,6/3/1977,30.65,-86.517,58,"EGLIN AF AUX NR 3 D, FL US",87.3,14,59.1,14,9999.9,0,999.9,0,7,14,4.2,14,10.9,999.9,93,*,77,*,0,I,999.9,0
72224603844,6/4/1977,30.65,-86.517,58,"EGLIN AF AUX NR 3 D, FL US",88.3,13,59.6,13,9999.9,0,999.9,0,7,13,5.3,13,15,999.9,93.9,*,75,*,0,I,999.9,0
72224603844,6/5/1977,30.65,-86.517,58,"EGLIN AF AUX NR 3 D, FL US",87.4,12,65.3,12,9999.9,0,999.9,0,6.8,12,6.1,12,9.9,14,93,*,79,*,0,I,999.9,10
72224603844,6/6/1977,30.65,-86.517,58,"EGLIN AF AUX NR 3 D, FL US",89.8,12,68.7,12,9999.9,0,999.9,0,6.5,12,9.8,12,12.8,999.9,96.1,*,81,*,0,I,999.9,10
72224603844,6/7/1977,30.65,-86.517,58,"EGLIN AF AUX NR 3 D, FL US",81.8,11,60.7,11,9999.9,0,999.9,0,6.5,11,9,11,10.9,999.9,88,*,75,*,0,I,999.9,0
72224603844,6/8/1977,30.65,-86.517,58,"EGLIN AF AUX NR 3 D, FL US",78.7,12,49.6,12,9999.9,0,999.9,0,7,12,5.9,12,9.9,999.9,84,*,66.9,*,0,I,999.9,0
72224603844,6/9/1977,30.65,-86.517,58,"EGLIN AF AUX NR 3 D, FL US",83.2,14,57.8,14,9999.9,0,999.9,0,7,14,6.6,14,9.9,999.9,91,*,73,*,0,I,999.9,0
72224603844,6/10/1977,30.65,-86.517,58,"EGLIN AF AUX NR 3 D, FL US",86.3,13,65.1,13,9999.9,0,999.9,0,6.9,13,4.5,13,8.9,10.9,93.9,*,75.9,*,0,I,999.9,0
72224603844,6/11/1977,30.65,-86.517,58,"EGLIN AF AUX NR 3 D, FL US",89.9,7,67.2,7,9999.9,0,999.9,0,6.4,7,6.3,7,8,999.9,95,*,82,*,0,I,999.9,0
72224603844,6/12/1977,30.65,-86.517,58,"EGLIN AF AUX NR 3 D, FL US",93.1,8,65.3,8,9999.9,0,999.9,0,6.8,8,7.3,8,12.8,17.9,96.1,*,87.1,*,0,I,999.9,0
