STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
A0002453848,2007-08-01,30.50694,-86.95972,31.1,"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",78.5,23,73.0,23,1012.6,9,8.0,23,7.0,23,3.6,23,15.9,28.9,90.0,*,73.4,*,1.1,G,999.9,10010
A0002453848,2007-08-02,30.50694,-86.95972,31.1,"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",79.8,24,72.9,24,1013.7,21,9.4,24,7.4,24,4.9,24,15.9,26.0,90.0,*,73.4,*,0.16,G,999.9,10010
A0002453848,2007-08-03,30.50694,-86.95972,31.1,"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",79.4,24,71.3,24,1015.7,24,11.3,24,9.5,24,4.2,24,8.0,999.9,91.0,*,73.0,*,0.85,G,999.9,10010
A0002453848,2007-08-04,30.50694,-86.95972,31.1,"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",81.7,24,73.3,24,1017.9,24,13.5,24,10.0,24,3.0,24,9.9,14.0,90.0,*,73.0,*,0.01,G,999.9,0
A0002453848,2007-08-05,30.50694,-86.95972,31.1,"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",82.4,24,73.6,24,1017.7,23,13.4,24,10.0,24,4.1,24,12.0,15.9,91.0,*,73.0,*,0.0,G,999.9,10000
A0002453848,2007-08-06,30.50694,-86.95972,31.1,"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",85.9,24,76.0,24,1016.4,21,11.9,24,9.9,24,6.3,24,13.0,17.1,95.0,*,81.0,*,0.0,G,999.9,10010
A0002453848,2007-08-07,30.50694,-86.95972,31.1,"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",86.8,24,74.5,24,1015.1,23,10.7,24,10.0,24,5.3,24,9.9,999.9,98.1,*,80.1,*,0.0,G,999.9,10010
A0002453848,2007-08-08,30.50694,-86.95972,31.1,"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",85.8,24,74.2,24,1014.8,22,10.3,24,9.6,24,3.7,24,12.0,15.0,93.9,*,78.1,*,0.0,G,999.9,10010
A0002453848,2007-08-09,30.50694,-86.95972,31.1,"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",85.6,24,78.4,24,1015.0,24,10.6,24,8.8,24,3.6,24,13.0,15.9,95.0,*,79.0,*,0.0,G,999.9,10010
A0002453848,2007-08-10,30.50694,-86.95972,31.1,"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",83.5,24,76.2,24,1014.2,21,9.8,24,8.8,24,4.3,24,14.0,25.1,93.0,*,75.0,*,0.03,G,999.9,10010
A0002453848,2007-08-11,30.50694,-86.95972,31.1,"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",86.3,24,77.2,24,1013.0,21,8.6,24,9.7,24,5.0,24,13.0,18.1,95.0,*,82.4,*,0.97,G,999.9,10010
A0002453848,2007-08-12,30.50694,-86.95972,31.1,"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",85.2,24,79.6,24,1014.7,21,10.5,24,6.9,24,5.7,24,12.0,17.1,93.2,*,75.2,*,0.0,G,999.9,110010
A0002453848,2007-08-13,30.50694,-86.95972,31.1,"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",82.7,24,76.3,24,1015.3,23,11.0,24,8.0,24,3.9,24,8.9,999.9,91.0,*,75.9,*,0.61,G,999.9,0
A0002453848,2007-08-14,30.50694,-86.95972,31.1,"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",85.6,24,76.4,24,1013.7,24,9.3,24,8.2,24,3.6,24,11.1,17.1,93.9,*,78.1,*,0.0,G,999.9,10000
A0002453848,2007-08-15,30.50694,-86.95972,31.1,"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",85.1,24,75.7,24,1014.2,23,9.9,24,8.3,24,3.9,24,8.9,999.9,93.0,*,77.0,*,0.0,G,999.9,0
A0002453848,2007-08-16,30.50694,-86.95972,31.1,"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",84.5,24,73.7,24,1016.7,24,12.3,24,9.3,24,3.3,24,9.9,999.9,95.0,*,75.0,*,0.0,G,999.9,0
A0002453848,2007-08-17,30.50694,-86.95972,31.1,"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",83.5,24,73.7,24,1018.0,24,13.6,24,10.0,24,3.6,24,11.1,999.9,91.0,*,75.9,*,0.01,G,999.9,0
A0002453848,2007-08-18,30.50694,-86.95972,31.1,"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",83.3,24,73.3,24,1018.6,23,14.2,24,10.0,24,3.3,24,8.0,999.9,90.0,*,77.0,*,0.0,G,999.9,10010
A0002453848,2007-08-19,30.50694,-86.95972,31.1,"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",83.4,24,71.7,24,1018.9,24,14.5,24,10.0,24,5.3,24,11.1,17.1,91.9,*,75.9,*,0.01,G,999.9,10000
A0002453848,2007-08-20,30.50694,-86.95972,31.1,"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",83.3,24,72.0,24,1018.6,23,14.2,24,10.0,24,5.2,24,9.9,999.9,93.0,*,75.0,*,0.0,G,999.9,10000
A0002453848,2007-08-21,30.50694,-86.95972,31.1,"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",84.5,24,74.1,24,1019.1,24,14.7,24,9.4,24,4.2,24,11.1,18.1,93.9,*,73.9,*,0.0,G,999.9,0
