Date,Open,High,Low,Close,Adj Close,Volume,Close_Diff
12-Jan-24,4791.18,4802.4,4768.98,4783.83,4783.83,"3,486,340,000",0
11-Jan-24,4792.13,4798.5,4739.58,4780.24,4780.24,"3,759,890,000",-3.59
10-Jan-24,4759.94,4790.8,4756.2,4783.45,4783.45,"3,498,680,000",3.21
9-Jan-24,4741.93,4765.47,4730.35,4756.5,4756.5,"3,529,960,000",-26.95
8-Jan-24,4703.7,4764.54,4699.82,4763.54,4763.54,"3,742,320,000",7.04
5-Jan-24,4690.57,4721.49,4682.11,4697.24,4697.24,"3,844,370,000",-66.3
4-Jan-24,4697.42,4726.78,4687.53,4688.68,4688.68,"3,715,480,000",-8.56
3-Jan-24,4725.07,4729.29,4699.71,4704.81,4704.81,"3,950,760,000",16.13
2-Jan-24,4745.2,4754.33,4722.67,4742.83,4742.83,"3,743,050,000",38.02
29-Dec-23,4782.88,4788.43,4751.99,4769.83,4769.83,"3,126,060,000",27
28-Dec-23,4786.44,4793.3,4780.98,4783.35,4783.35,"2,698,860,000",13.52
27-Dec-23,4773.45,4785.39,4768.9,4781.58,4781.58,"2,748,450,000",-1.77
26-Dec-23,4758.86,4784.72,4758.45,4774.75,4774.75,"2,513,910,000",-6.83
22-Dec-23,4753.92,4772.94,4736.77,4754.63,4754.63,"3,046,770,000",-20.12
21-Dec-23,4724.29,4748.71,4708.35,4746.75,4746.75,"3,431,180,000",-7.88
20-Dec-23,4764.73,4778.01,4697.82,4698.35,4698.35,"4,201,320,000",-48.4
19-Dec-23,4743.72,4768.69,4743.72,4768.37,4768.37,"4,026,970,000",70.02
18-Dec-23,4725.58,4749.52,4725.58,4740.56,4740.56,"4,060,340,000",-27.81
15-Dec-23,4714.23,4725.53,4704.69,4719.19,4719.19,"8,218,980,000",-21.37
14-Dec-23,4721.04,4738.57,4694.34,4719.55,4719.55,"6,314,040,000",0.36
13-Dec-23,4646.2,4709.69,4643.23,4707.09,4707.09,"5,063,650,000",-12.46
12-Dec-23,4618.3,4643.93,4608.09,4643.7,4643.7,"3,808,380,000",-63.39
11-Dec-23,4593.39,4623.71,4593.39,4622.44,4622.44,"3,823,210,000",-21.26
8-Dec-23,4576.2,4609.23,4574.06,4604.37,4604.37,"3,707,010,000",-18.07
7-Dec-23,4568.84,4590.92,4565.22,4585.59,4585.59,"3,818,880,000",-18.78
6-Dec-23,4586.23,4590.74,4546.5,4549.34,4549.34,"4,245,680,000",-36.25
5-Dec-23,4557.25,4578.56,4551.68,4567.18,4567.18,"3,909,950,000",17.84
4-Dec-23,4564.37,4572.37,4546.72,4569.78,4569.78,"4,369,910,000",2.6
1-Dec-23,4559.43,4599.39,4554.71,4594.63,4594.63,"4,397,120,000",24.85
30-Nov-23,4554.87,4569.89,4537.24,4567.8,4567.8,"5,399,300,000",-26.83
29-Nov-23,4571.84,4587.64,4547.15,4550.58,4550.58,"4,418,760,000",-17.22
28-Nov-23,4545.55,4568.14,4540.51,4554.89,4554.89,"3,586,240,000",4.31
27-Nov-23,4554.86,4560.52,4546.32,4550.43,4550.43,"3,403,990,000",-4.46
24-Nov-23,4555.84,4560.31,4552.8,4559.34,4559.34,"1,639,500,000",8.91
22-Nov-23,4553.04,4568.43,4545.05,4556.62,4556.62,"3,042,810,000",-2.72
21-Nov-23,4538.77,4542.14,4525.51,4538.19,4538.19,"3,511,080,000",-18.43
20-Nov-23,4511.7,4557.11,4510.36,4547.38,4547.38,"3,644,790,000",9.19
17-Nov-23,4509.55,4520.12,4499.66,4514.02,4514.02,"3,777,240,000",-33.36
16-Nov-23,4497.08,4511.99,4487.83,4508.24,4508.24,"3,964,520,000",-5.78
15-Nov-23,4505.3,4521.17,4495.31,4502.88,4502.88,"4,347,170,000",-5.36
14-Nov-23,4458.97,4508.67,4458.97,4495.7,4495.7,"4,700,350,000",-7.18
13-Nov-23,4406.66,4421.76,4393.82,4411.55,4411.55,"3,326,240,000",-84.15
10-Nov-23,4364.15,4418.03,4353.34,4415.24,4415.24,"3,665,080,000",3.69
9-Nov-23,4391.41,4393.4,4343.94,4347.35,4347.35,"3,900,780,000",-67.89
8-Nov-23,4384.37,4391.2,4359.76,4382.78,4382.78,"3,729,510,000",35.43
7-Nov-23,4366.21,4386.26,4355.41,4378.38,4378.38,"3,791,230,000",-4.4
